date,EUR/EUR,JPY/EUR,USD/EUR,CNY/EUR,INR/EUR,RUB/EUR,CHF/EUR,MXN/EUR,AUD/EUR,KRW/EUR,,2010-01-01
2015-04-01,1,0.7461,0.8907,0.1436,0.014,0.01722,0.955,0.05801,0.7039,0.0008,,2015-05-01
2015-05-01,1,0.7328,0.91,0.1468,0.0143,0.01737,0.9677,0.05916,0.6949,0.0008,,2015-06-01
2015-06-01,1,0.7327,0.8977,0.1447,0.0141,0.01623,0.9594,0.05703,0.6916,0.0008,,2015-07-01
2015-07-01,1,0.7341,0.91,0.1465,0.0142,0.01473,0.9415,0.05647,0.6645,0.0008,,2015-08-01
2015-08-01,1,0.7353,0.8914,0.1398,0.0134,0.01396,0.9218,0.05321,0.6338,0.0008,,2015-09-01
2015-09-01,1,0.7462,0.8946,0.1407,0.0137,0.01369,0.9188,0.05287,0.6278,0.0008,,2015-10-01
2015-10-01,1,0.7531,0.9086,0.1438,0.0139,0.01417,0.9192,0.05504,0.6485,0.0008,,2015-11-01
2015-11-01,1,0.7687,0.9464,0.1479,0.0142,0.01425,0.9199,0.05709,0.6839,0.0008,,2015-12-01
2015-12-01,1,0.7651,0.9207,0.1417,0.0139,0.0126,0.9186,0.05356,0.6698,0.0008,,2016-01-01
2016-01-01,1,0.762,0.9226,0.1403,0.0135,0.01221,0.9012,0.05092,0.6534,0.0008,,2016-02-01
2016-02-01,1,0.8158,0.9195,0.1403,0.0135,0.01222,0.9205,0.05068,0.6564,0.0007,,2016-03-01
2016-03-01,1,0.7803,0.8786,0.1362,0.0133,0.01311,0.9129,0.05084,0.6725,0.0008,,2016-04-01
2016-04-01,1,0.8204,0.8728,0.1348,0.0131,0.01349,0.9092,0.0508,0.6635,0.0008,,2016-05-01
2016-05-01,1,0.811,0.8981,0.1364,0.0134,0.01345,0.9037,0.04862,0.6492,0.0008,,2016-06-01
2016-06-01,1,0.8713,0.9003,0.1354,0.0133,0.01405,0.9222,0.04922,0.6705,0.0008,,2016-07-01
2016-07-01,1,0.8765,0.8949,0.1348,0.0134,0.01356,0.9227,0.0477,0.6796,0.0008,,2016-08-01
2016-08-01,1,0.8662,0.8959,0.1341,0.01335,0.01369,0.9101,0.04769,0.6732,0.0008,,2016-09-01
2016-09-01,1,0.8774,0.8894,0.1332,0.01335,0.01414,0.9153,0.04586,0.6807,0.000804,,2016-10-01
2016-10-01,1,0.8685,0.9105,0.1343,0.01366,0.01438,0.9203,0.04825,0.6928,0.000808,,2016-11-01
